season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers
1,1,1,Days Gone Bye,Frank Darabont,Teleplay by: Frank Darabont,2010-10-31,5350000.0
1,2,2,Guts,Michelle MacLaren,Frank Darabont,2010-11-07,4710000.0
1,3,3,Tell It to the Frogs,Gwyneth Horder-Payton,Story by: Charles H. Eglee & Jack LoGiudiceTeleplay by: Charles H. Eglee & Jack LoGiudice and Frank Darabont,2010-11-14,5070000.0
1,4,4,Vatos,Johan Renck,Robert Kirkman,2010-11-21,4750000.0
1,5,5,Wildfire,Ernest Dickerson,Glen Mazzara,2010-11-28,5560000.0
1,6,6,TS-19,Guy Ferland,Adam Fierro and Frank Darabont,2010-12-05,5970000.0
2,1,7,What Lies Ahead,Ernest DickersonGwyneth Horder-Payton,Ardeth Bey and Robert Kirkman,2011-10-16,7260000.0
2,2,8,Bloodletting,Ernest Dickerson,Glen Mazzara,2011-10-23,6700000.0
2,3,9,Save the Last One,Phil Abraham,Scott M. Gimple,2011-10-30,6100000.0
2,4,10,Cherokee Rose,Billy Gierhart,Evan Reilly,2011-11-06,6290000.0
2,5,11,Chupacabra,Guy Ferland,David Leslie Johnson,2011-11-13,6120000.0
2,6,12,Secrets,David Boyd,Angela Kang,2011-11-20,6080000.0
2,7,13,Pretty Much Dead Already,Michelle MacLaren,Scott M. Gimple,2011-11-27,6620000.0
2,8,14,Nebraska,Clark Johnson,Evan Reilly,2012-02-12,8100000.0
2,9,15,Triggerfinger,Billy Gierhart,David Leslie Johnson,2012-02-19,6890000.0
2,10,16,18 Miles Out,Ernest Dickerson,Scott M. Gimple & Glen Mazzara,2012-02-26,7040000.0
2,11,17,"Judge, Jury, Executioner",Greg Nicotero,Angela Kang,2012-03-04,6770000.0
2,12,18,Better Angels,Guy Ferland,Evan Reilly & Glen Mazzara,2012-03-11,6890000.0
2,13,19,Beside the Dying Fire,Ernest Dickerson,Robert Kirkman & Glen Mazzara,2012-03-18,8990000.0
3,1,20,Seed,Ernest Dickerson,Glen Mazzara,2012-10-14,10870000.0
3,2,21,Sick,Billy Gierhart,Nichole Beattie,2012-10-21,9550000.0
3,3,22,Walk with Me,Guy Ferland,Evan Reilly,2012-10-28,10510000.0
3,4,23,Killer Within,Guy Ferland,Sang Kyu Kim,2012-11-04,9270000.0
3,5,24,Say the Word,Greg Nicotero,Angela Kang,2012-11-11,10370000.0
3,6,25,Hounded,Dan Attias,Scott M. Gimple,2012-11-18,9210000.0
3,7,26,When the Dead Come Knocking,Dan Sackheim,Frank Renzulli,2012-11-25,10430000.0
3,8,27,Made to Suffer,Billy Gierhart,Robert Kirkman,2012-12-02,10480000.0
3,9,28,The Suicide King,Lesli Linka Glatter,Evan Reilly,2013-02-10,12260000.0
3,10,29,Home,Seith Mann,Nichole Beattie,2013-02-17,11050000.0
3,11,30,I Ain't a Judas,Greg Nicotero,Angela Kang,2013-02-24,11010000.0
3,12,31,Clear,Tricia Brock,Scott M. Gimple,2013-03-03,11300000.0
3,13,32,Arrow on the Doorpost,David Boyd,Ryan C. Coleman,2013-03-10,11460000.0
3,14,33,Prey,Stefan Schwartz,Glen Mazzara & Evan Reilly,2013-03-17,10840000.0
