season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
1,1,Days Gone Bye,2010-10-31,9.2,27463,"Deputy Sheriff Rick Grimes awakens from a coma, and searches for his family in a world ravaged by the undead."
1,2,Guts,2010-11-07,8.6,17278,"In Atlanta, Rick is rescued by a group of survivors, but they soon find themselves trapped inside a department store surrounded by walkers."
1,3,Tell It to the Frogs,2010-11-14,8.2,15815,"Rick is reunited with Lori and Carl but soon decides - along with some of the other survivors - to return to the rooftop and rescue Merle. Meanwhile, tensions run high between the other survivors at the camp."
1,4,Vatos,2010-11-21,8.5,15449,"Rick, Glenn, Daryl and T-Dog come across a group of seemingly hostile survivors whilst searching for Merle. Back at camp, Jim begins behaving erratically."
1,5,Wildfire,2010-11-28,8.1,14856,"After the attack on the camp, Rick leads the survivors to the C.D.C., in the hope that they can cure an infected Jim."
1,6,TS-19,2010-12-05,8.6,16184,The survivors gain access to the C.D.C. in the hope of a safe haven.
2,1,What Lies Ahead,2011-10-16,8.5,14515,The group's plan to head for Fort Benning is put on hold when Sophia goes missing.
2,2,Bloodletting,2011-10-23,7.9,13189,"After Carl is accidentally shot, the group are brought to a family living on a nearby farm. Shane makes a dangerous trip in search of medical supplies."
2,3,Save the Last One,2011-10-30,8.3,13155,"As Carl's condition continues to deteriorate, Shane and Otis try to dodge the walkers as they head back to the farm."
2,4,Cherokee Rose,2011-11-06,7.5,12768,"With Carl recovering, the group puts their focus on finding Sophia. Glenn and Maggie go for a trip to find supplies."
2,5,Chupacabra,2011-11-13,8.0,12869,"In the woods alone, Daryl finds a clue but is injured and attacked by walkers. Rick questions his choices. Glenn gets mixed signals from Maggie."
2,6,Secrets,2011-11-20,7.6,12507,"Dale confronts Hershel after Glenn tells him about the walkers in the barn. Meanwhile, Lori struggles to come to terms with her pregnancy, and Shane tries to teach Andrea how to use weapons."
2,7,Pretty Much Dead Already,2011-11-27,9.2,18195,"Glenn tells the rest of the group about the walkers in the barn, dividing them on what to do. Meanwhile, Hershel sets a deadline for the group to leave, unless Rick does a difficult task."
2,8,Nebraska,2012-02-12,8.2,12674,"In the aftermath of the barn incident; the group bury loved ones, Beth falls into shock, and Rick and Glenn head out to find Hershel when he disappears."
2,9,Triggerfinger,2012-02-19,8.2,12251,"Rick, Glenn and Hershel come under enemy fire after their encounter with Dave and Tony. Meanwhile, Shane goes after Lori when everyone realizes she is missing."
2,10,18 Miles Out,2012-02-26,8.4,12684,"Rick and Shane argue over what to do with Randall. Back at the farm, Lori, Andrea and Maggie deal with a suicidal Beth."
2,11,"Judge, Jury, Executioner",2012-03-04,8.5,12920,Dale fears the group is losing its humanity as Rick and the others vote to execute Randall.
2,12,Better Angels,2012-03-11,9.1,15468,"Shane's antagonistic behaviour reaches new heights, while Carl suffers the consequences of his actions."
2,13,Beside the Dying Fire,2012-03-18,9.2,17130,"As the farm is overrun by walkers, the group fights to escape."
3,1,Seed,2012-10-14,8.8,15012,"After months on the run, the group take refuge in a federal prison, while elsewhere, Andrea's health starts to deteriorate."
3,2,Sick,2012-10-21,8.5,12642,"As Hershel's condition worsens, Rick, Daryl and T-Dog deal with a group of prisoners."
3,3,Walk with Me,2012-10-28,8.1,12159,Andrea and Michonne are brought to a walled community run by a man called The Governor.
3,4,Killer Within,2012-11-04,9.3,16891,Lori goes into labour when the prison comes under attack. Michonne tries to convince Andrea to leave Woodbury.
3,5,Say the Word,2012-11-11,8.1,11420,Rick struggles to cope. Andrea and Michonne part ways. Daryl and Maggie head out to find food and clothes for the baby.
3,6,Hounded,2012-11-18,8.1,11269,Rick receives a mysterious phone call. Andrea grows closer to The Governor. Merle tries to hunt down Michonne.
3,7,When the Dead Come Knocking,2012-11-25,8.5,11547,"Michonne leads Rick, Daryl and Oscar to Woodbury to rescue Glenn and Maggie. Merle tries to force information out of Glenn."
3,8,Made to Suffer,2012-12-02,8.9,12947,"Rick, Daryl, Michonne and Oscar enter Woodbury in search of Glenn and Maggie. Meanwhile, a new group of survivors encounter the prison."
3,9,The Suicide King,2013-02-10,8.0,11525,Woodbury is left in disarray following the attack by Rick's group. Merle's presence in the group causes conflict.
3,10,Home,2013-02-17,8.6,12303,Rick continues to see visions of Lori. The Governor plans an assault on the prison. Daryl and Merle fend for themselves out in the forest.
3,11,I Ain't a Judas,2013-02-24,7.7,11265,"As Rick and the group debate their next course of action, Andrea tries to negotiate with them. Meanwhile, The Governor prepares Woodbury for battle."
3,12,Clear,2013-03-03,8.7,13219,"Rick runs into a familiar face when he, Carl and Michonne head back to Rick's hometown for more guns to fortify themselves against The Governor."
3,13,Arrow on the Doorpost,2013-03-10,7.7,11553,"Rick and The Governor meet face-to-face, ostensibly to make a peaceful resolution to prevent further bloodshed. Back at the prison, tensions arise between Merle and the rest of the group."
3,14,Prey,2013-03-17,7.9,11510,"The Governor hunts down Andrea when she flees Woodbury. Meanwhile, tensions arise within Tyreese's group, and The Governor's plan for Rick's group is sabotaged."
3,15,This Sorrowful Life,2013-03-24,8.8,13039,"While Rick decides the fate of Michonne, Merle takes matters into his own hand."
3,16,Welcome to the Tombs,2013-03-31,8.2,13234,"As Rick and the group prepare for the Governor's impending attack, Andrea fights to escape captivity."
4,1,30 Days Without an Accident,2013-10-13,8.1,13642,"Several months have passed and Rick and the expanded group are living a more peaceful life at the prison. Problems surface when Rick encounters a new survivor, and a supply run ends in disaster."
4,2,Infected,2013-10-20,8.3,11917,Rick is forced to abandon his quiet lifestyle when a mysterious virus puts the lives of everyone at the prison at risk.
4,3,Isolation,2013-10-27,7.9,11249,"As the sick are quarantined, Daryl, Tyreese, Michonne and Bob leave the prison in search of medical supplies. Rick makes a shocking discovery."
4,4,Indifference,2013-11-03,7.9,11287,"Daryl, Tyreese, Michonne and Bob continue to the veterinary college on foot in search of medicine. Rick and Carol go on a run to a nearby town where they find two uninfected stragglers."
4,5,Internment,2013-11-10,8.8,13465,"Hershel struggles to care for the sick as the situation in the cell block escalates. Meanwhile, Rick and Carl defend the prison as the fences give way."
4,6,Live Bait,2013-11-17,7.7,11898,The Governor bonds with a small family following the downfall of Woodbury.
4,7,Dead Weight,2013-11-24,7.7,11491,"The Governor plans his next move as he, Lilly, Tara and Meghan adjust to new surroundings."
4,8,Too Far Gone,2013-12-01,9.6,28102,Rick and the group face imminent danger as The Governor tries to take the prison.
4,9,After,2014-02-09,8.0,12379,"With the prison overrun, Rick and Carl find themselves on the road looking for shelter. Meanwhile, Michonne is haunted by memories of the past."
4,10,Inmates,2014-02-16,8.1,11410,"Beth tries to remain hopeful. Tyreese, Lizzie and Mika run into a familiar face. Glenn and Maggie struggle to cope without each other."
4,11,Claimed,2014-02-23,8.1,11157,"While Carl and Michonne look for supplies, Rick is faced against a gang of marauders. Meanwhile, Glenn and Tara are brought together with three strangers on an important mission."
4,12,Still,2014-03-02,7.3,14615,"Daryl and Beth seek refuge in the woods, where conflict emerges between the pair."
4,13,Alone,2014-03-09,7.9,11457,"Maggie, Sasha and Bob clash over whether they should head to Terminus. Daryl and Beth take shelter in a seemingly abandoned funeral home."
4,14,The Grove,2014-03-16,9.2,17527,"Carol has to cope with old secrets and Lizzie's psychotic behavior when she, Tyreese and the girls take refuge in a vacant house on the way to Terminus."
4,15,Us,2014-03-23,8.4,11289,"Glenn and Tara are set on the way to Terminus, but Abraham is reluctant. Daryl struggles to adjust to the Claimers' rules."
4,16,A,2014-03-30,9.1,17086,"Rick, Carl and Michonne cross paths with the Claimers once again on the way to Terminus, as the so-called sanctuary begins to reveal its true face."
5,1,No Sanctuary,2014-10-12,9.6,28918,Carol takes drastic action to rescue Rick and the group from the cannibals of Terminus as she and Tyreese reach the compound. A familiar face makes a return.
5,2,Strangers,2014-10-19,8.5,13188,"Rick and the group cross paths with a mysterious priest and take shelter in his church, soon realizing that they're being hunted. Meanwhile, Daryl and Carol follow a lead to the whereabouts of Beth."
5,3,Four Walls and a Roof,2014-10-26,9.0,15069,"With Bob's life hanging in the balance, the group prepares to fight back against Gareth and his group of cannibals."
5,4,Slabtown,2014-11-02,7.4,12978,"After being separated from Daryl, Beth finds herself in Grady Memorial Hospital in Atlanta, now controlled by what's left of the police force."
5,5,Self Help,2014-11-09,7.9,11732,"As Glenn, Maggie, Abraham and co. head to D.C., a new revelation threatens to bring the whole journey to a halt."
5,6,Consumed,2014-11-16,8.0,11515,Daryl and Carol chase the white-crossed car to a desolated Atlanta with hopes of finding Beth and her kidnappers.
5,7,Crossed,2014-11-23,7.8,10899,"While Carl, Michonne and Gabriel hold the church, Rick takes a rescue mission to Atlanta, as Abraham's group deal with the fallout from Eugene's revelation."
5,8,Coda,2014-11-30,8.7,14439,Rick and the group go face-to-face against Dawn and her officers in an attempt to save both Beth and Carol without any more bloodshed.
5,9,What Happened and What's Going On,2015-02-08,7.9,13813,"Rick, Glenn, Michonne and Tyreese take Noah to his home in Shirewilt Estates with hopes of finding sanctuary, but what they encounter is something else entirely."
5,10,Them,2015-02-15,7.5,11872,"Grieving from the deaths of Beth and Tyreese in different ways and with dwindling supplies, the group face the harsh road to Washington D.C."
5,11,The Distance,2015-02-22,8.4,11282,"Recovering from a devastating storm, Rick and the group find themselves mistrustful of a new survivor who promises them safety in a walled-off community."
5,12,Remember,2015-03-01,8.6,11638,"Scarred from their experiences in the outside world, the group struggles to adapt to the normality of the Alexandria Safe-Zone."
5,13,Forget,2015-03-08,7.9,10560,"As Deanna throws a party for the new arrivals, Carol comes up with a plan to get the group's weapons back. Meanwhile, Daryl bonds with Aaron, and Sasha struggles to cope."
5,14,Spend,2015-03-15,8.9,12945,"Eugene is forced to step up when a run led by Glenn goes awry. Back at Alexandria, Carol uncovers a secret."
5,15,Try,2015-03-22,8.5,11389,"While out recruiting, Daryl and Aaron find troubling signs of human activity. Back at Alexandria, Carl bonds with Enid, and the tension between Rick and Pete comes to a head."
5,16,Conquer,2015-03-29,9.2,17228,"Daryl and Aaron cross paths with Morgan. Back at the safe-zone, the people of Alexandria decide what to do with Rick, as a new danger emerges."
6,1,First Time Again,2015-10-11,8.6,16093,"Rick and the group come up with a plan to lure a massive herd of walkers away from Alexandria, while flashbacks show the events following Pete's death, including Rick's reunion with Morgan."
6,2,JSS,2015-10-18,9.2,16483,"While Rick and his group lure the herd away, Carol and Morgan lead a line of defense against the Wolves when Alexandria comes under attack."
6,3,Thank You,2015-10-25,9.2,17483,"With half of the herd out of control, Glenn and Michonne lead Nicholas and their group back to Alexandria, as Rick crosses paths with the surviving members of the Wolves."
6,4,Here's Not Here,2015-11-01,8.2,14803,"Morgan tells the captured wolf about his journey from King County to Alexandria, where he met a lone survivor with a code."
6,5,Now,2015-11-08,7.2,11359,"Deanna begins to question her leadership. Meanwhile, Maggie shares a secret with Aaron while searching for Glenn, as the herd approaches the safe-zone."
6,6,Always Accountable,2015-11-15,7.6,10835,"Wounded after being separated from Abraham and Sasha, Daryl finds himself captive of three survivors on the run."
6,7,Heads Up,2015-11-22,8.0,10745,"Glenn and Enid make their way back to Alexandria. Meanwhile, Spencer puts his life at risk, as the herd finds its way inside the safe-zone."
6,8,Start to Finish,2015-11-29,8.0,11574,"With the walls down, Alexandria finds itself swarmed by walkers. Meanwhile, Daryl, Abraham and Sasha come face-to-face with a new danger."
6,9,No Way Out,2016-02-14,9.6,30557,"Daryl, Abraham and Sasha face-off against the Saviors. Back at Alexandria, Rick and his group make their way through the herd."
6,10,The Next World,2016-02-21,8.3,11787,"Weeks after the walker invasion, Rick and Daryl cross paths with Jesus, a mysterious man with many secrets. Meanwhile, Michonne helps Spencer find closure, as Carl recovers from his injury."
6,11,Knots Untie,2016-02-28,8.1,10344,"Jesus takes Rick and the group to the Hilltop Colony, a peaceful community overshadowed by the power of the Saviors."
6,12,Not Tomorrow Yet,2016-03-06,9.0,13076,"Rick leads a surprise attack against the Saviors with the joint forces of Alexandria and the Hilltop. As two group members end up captured, Tara and Heath leave on a two-week supply run."
6,13,The Same Boat,2016-03-13,8.6,12031,Carol and Maggie must fight for their lives after being taken by a group of Saviors.
6,14,Twice as Far,2016-03-20,8.0,10448,"With medicine running low, Denise goes on a supply with Daryl and Rosita. Meanwhile, Eugene tries to prove himself to Abraham."
6,15,East,2016-03-27,7.9,10481,"Rick and Morgan set out in the search for Carol. Meanwhile, Daryl and Rosita track down Dwight, as Glenn and Michonne fall into a trap."
6,16,Last Day on Earth,2016-04-03,6.9,32181,"Morgan continues his search for Carol. Meanwhile, Rick and the group travel to the Hilltop with an ailing Maggie, leading to a daunting and life-changing confrontation."
7,1,The Day Will Come When You Won't Be,2016-10-23,9.2,42427,"Having been brutally overpowered by Negan and his Saviors, Rick and the group kneel helplessly as they suffer heavy losses that will haunt them forever."
7,2,The Well,2016-10-30,7.1,14030,"Carol and Morgan are brought to a community called the Kingdom, led by the eccentric King Ezekiel."
7,3,The Cell,2016-11-06,7.5,12516,"Daryl is taken by Negan to the Sanctuary, home of the Saviors. Meanwhile, Dwight is sent on a mission to bring back a runaway member of his group."
7,4,Service,2016-11-13,7.6,12311,"Still mourning from the recent tragic losses, Rick and the people of Alexandria receive a sobering visit from Negan and his Saviors."
7,5,Go Getters,2016-11-20,6.8,11519,"Maggie and Sasha recover from their grief at the Hilltop. Meanwhile, Carl and Enid journey to the community, as the Saviors arrive to get their tribute."
7,6,Swear,2016-11-27,5.7,14653,Tara encounters a group of female survivors living near the coast after being separated from Heath during their two-week supply run.
